operation,id,edge_id,detail
1,1801-062,건대입구_011→건대입구_001,
1,1801-063,건대입구_001→건대입구_011,
1,1800-427,합정_004→합정_001,4-1 부근
1,1800-428,합정_005→합정_001,7-3 부근 
1,1809-484,합정_010→합정_001,
1,1809-485,합정_001→합정_010,
1,1808-923,합정_006→합정_003,3-3 부근
1,1808-924,합정_003→합정_007,좌측 
1,1808-925,합정_007→합정_003,6-1 부근
1,1808-926,합정_005→합정_003,2-2 부근
1,1808-927,합정_003→합정_005,환승통로
1,1808-928,합정_004→합정_003,9-3 부근
1,1808-929,합정_003→합정_004,환승통로
1,1808-930,합정_002→합정_003,개찰구 방면 
1,1808-931,합정_003→합정_002,개찰구 통과 후
1,1808-932,합정_001→합정_013,
1,1810-127,합정_009→합정_002,
1,1810-128,합정_002→합정_009,
1,1801-751,어린이대공원_001→어린이대공원_008,
1,1801-752,어린이대공원_008→어린이대공원_001,
1,1806-036,어린이대공원_001→어린이대공원_006,
1,1806-037,어린이대공원_006→어린이대공원_001,
1,1811-531,어린이대공원_001→어린이대공원_004,
1,1811-532,어린이대공원_004→어린이대공원_001,
1,1801-691,건대입구_005→건대입구_001,8-4 부근에서 환승통로 측으로 내려간 후
1,1801-692,건대입구_001→건대입구_005,어린이대공원 방면 환승통로
1,1801-693,건대입구_006→건대입구_001,1-1 부근
1,1801-694,건대입구_001→건대입구_006,자양 방면 환승통로
1,1801-472,건대입구_005→건대입구_002,7-1 부근
1,1805-837,건대입구_008→건대입구_002,
1,1805-836,건대입구_002→건대입구_008,
